round,lat,lng,url,Location
1,-46.09881512,168.9453916,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=1&lat=-46.0988151225526&lng=168.945391646417,
2,-40.00025759,176.5481574,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=2&lat=-40.0002575879783&lng=176.548157411845,
3,-38.04441299,174.8284725,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=3&lat=-38.0444129860498&lng=174.828472512479,
4,-41.55058664,173.9072837,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=4&lat=-41.550586640424&lng=173.90728371808,
5,-40.36849902,175.5989588,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=5&lat=-40.3684990190108&lng=175.598958821161,
6,-35.26175223,174.1219147,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=6&lat=-35.2617522305885&lng=174.121914672756,
7,-46.89715729,168.1286932,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=7&lat=-46.8971572900502&lng=168.128693200694,
8,-45.48595906,170.713342,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=8&lat=-45.485959055679&lng=170.713341974458,
9,-41.32213279,174.7984674,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=9&lat=-41.3221327944632&lng=174.798467402528,
