round,lat,lng,url
1,29.42180276,-98.4925633,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=1&lat=29.4218027637728&lng=-98.4925632963137
2,-18.8719887,47.4424789,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=2&lat=-18.8719887&lng=47.4424789
3,15.3733297,73.8540489,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=3&lat=15.3733297&lng=73.8540489
4,35.8035868,139.1958963,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=4&lat=35.8035868&lng=139.1958963
5,44.8495522,9.8679991,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=5&lat=44.8495522&lng=9.86799909999999
6,3.448580843,-76.52939516,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=6&lat=3.4485808429017&lng=-76.5293951566324
7,43.92092864,-69.96583632,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=7&lat=43.9209286438984&lng=-69.9658363231633
8,37.5637187,126.9868747,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=8&lat=37.5637187&lng=126.9868747
9,-38.64661,143.0702472,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=9&lat=-38.6466100016183&lng=143.070247232224
