round,lat,lng,url,Location
1,43.7496689,15.7923778,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=1&lat=43.7496689&lng=15.7923778,
2,-34.05981928,18.36948898,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=2&lat=-34.0598192813396&lng=18.3694889768958,
3,12.265254,109.1952972,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=3&lat=12.265254&lng=109.1952972,
4,37.76437583,-122.5105085,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=4&lat=37.7643758304599&lng=-122.510508463768,
5,-22.78823199,-43.35302818,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=5&lat=-22.7882319854358&lng=-43.3530281778875,
6,-40.94697839,175.8720652,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=6&lat=-40.9469783911271&lng=175.872065174695,
7,17.97936656,-66.11156819,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=7&lat=17.9793665630602&lng=-66.1115681912594,
8,33.6080208,-7.6329165,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=8&lat=33.6080208&lng=-7.6329165,
9,59.320672,18.059628,file:///C:/Users/rjc.EAGLE/Documents/GitHub/iamwhere.github.io/rounds.html?param=217165498465184316848413169875646132156744316847516548756413213213216579876161879464651321686765487976496464645554548786121564878787888645161231132&round=9&lat=59.3206719999999&lng=18.059628,
